0,2.4064
0.005,0.96361
0.009,1.2304
0.014,1.3122
0.019,1.0559
0.023,0.91944
0.028,0.91955
0.032,1.0145
0.036,1.0541
0.041,1.007
0.045,0.94631
0.05,0.92386
0.055,0.94115
0.059,0.95046
0.064,0.92571
0.068,0.91351
0.073,0.91964
0.077,0.94591
0.081,0.94101
0.086,0.92182
0.091,0.89706
0.095,0.91142
0.1,0.93796
0.104,0.94864
0.109,0.95145
0.114,0.9681
0.118,0.96806
0.122,0.98618
0.127,1.0103
0.131,1.0086
0.136,1.0218
0.14,1.0065
0.145,1.0195
0.15,1.0379
0.154,1.0472
0.159,1.0412
0.163,1.059
0.167,1.0415
0.172,1.0377
0.176,1.0098
0.181,1.0184
0.186,1.011
0.19,0.99896
0.195,1.0027
0.2,0.99667
0.203,0.98957
0.208,0.98839
0.212,0.97028
0.217,0.97501
0.222,0.96971
0.226,0.97678
0.231,0.98109
0.235,0.96002
0.24,0.95055
0.244,0.9586
0.248,0.98466
0.253,1.0001
0.258,0.98555
0.262,0.98834
0.267,1.0099
0.271,1.0168
0.276,1.0323
0.281,1.0213
0.284,1.0334
0.289,1.0274
0.294,1.0191
0.298,1.0157
0.303,1.022
0.307,0.99452
0.312,1.0119
0.317,1.0208
0.321,1.0209
0.326,0.99636
0.329,1.0088
0.334,0.99753
0.339,1.0013
0.343,0.98547
0.348,0.99791
0.353,0.97955
0.357,0.99314
0.362,0.98416
0.366,0.97349
0.37,0.96979
0.375,0.95499
0.379,0.98329
0.384,0.99962
0.389,0.9736
0.393,0.96912
0.398,0.99101
0.402,0.98948
0.407,1.0082
0.411,0.99357
0.415,0.99864
0.42,0.99118
0.425,0.99839
0.429,1.0127
0.434,1.0148
0.438,1.003
0.443,0.99973
0.448,0.9945
0.451,0.99364
0.456,1.0144
0.46,1.0005
0.465,1.0104
0.47,1.0141
0.474,1.004
0.479,1.0036
0.484,1.0121
0.488,1.0005
0.493,0.99328
0.496,0.99029
0.501,0.99765
0.506,0.99813
0.51,0.99235
0.515,0.97336
0.52,0.97431
0.524,0.97171
0.529,0.99313
0.533,0.9999
0.537,0.97741
0.542,0.97363
0.546,0.98949
0.551,1.0082
0.556,1.0076
0.56,1.0092
0.565,0.99022
0.569,1.0096
0.574,1.0009
0.578,1.0024
0.582,0.99353
0.587,0.98748
0.591,1.0038
0.596,1.0189
0.601,1.009
0.605,1.0012
0.61,0.98338
0.615,0.98158
0.618,0.99202
0.623,0.99875
0.627,0.98633
0.632,0.97625
0.637,0.96657
0.641,0.96599
0.646,0.97699
0.65,0.98135
0.655,0.98617
0.659,1.0046
0.663,1.0144
0.668,1.0022
0.672,0.98981
0.677,1.0023
0.682,1.0193
0.686,1.0169
0.691,1.0339
0.696,1.0155
0.7,1.0057
0.704,1.0193
0.708,1.0267
0.713,1.0098
0.718,0.9843
0.722,0.99414
0.727,0.98324
0.731,1.0155
0.736,0.99659
0.741,0.98334
0.744,0.98479
0.749,0.9907
0.754,0.99226
0.758,0.99465
0.763,0.99527
0.767,1.0013
0.772,0.99988
0.777,1.0062
0.781,1.0119
0.785,0.99739
0.789,0.99667
0.794,0.99299
0.799,1.0065
0.803,0.99524
0.808,1.0009
0.813,1.0046
0.817,0.98218
0.822,1.0045
0.826,0.98619
0.83,1.0021
0.835,0.98054
0.839,1.0047
0.844,0.98966
0.848,0.97732
0.853,0.98034
0.858,0.98782
0.862,0.99607
0.867,0.99916
0.871,0.98841
0.875,0.99263
0.88,0.98745
0.884,0.99571
0.889,0.98974
0.894,0.97164
0.898,0.95987
0.903,0.95621
0.907,0.9784
0.911,0.99395
0.916,0.98262
0.92,0.98562
0.925,0.9613
0.929,0.9373
0.934,0.86029
0.939,0.75116
0.943,0.69832
0.948,0.65983
0.952,0.62544
0.956,0.55247
0.961,0.72012
0.965,2.1382
0.97,2.1557
0.975,0.84607
0.979,1.1241
0.984,1.0052
0.988,0.94417
0.993,0.77449
0.997,0.8513
1.001,0.38187
1.006,0.60619
1.01,0.8533
1.015,0.8037
1.02,1.0755
1.024,1.1171
1.029,1.2634
1.034,1.0512
1.037,0.99203
1.042,1.0075
1.046,0.91103
1.051,0.93466
1.056,0.81964
1.06,0.83936
1.065,0.85286
1.069,0.92282
1.074,0.98056
1.078,1.0458
1.082,1.0636
1.087,1.0517
1.092,1.0323
1.096,0.99925
1.101,0.97132
1.105,0.94441
1.11,0.93578
1.115,0.9565
1.118,0.98159
1.123,1.033
1.127,1.0806
1.132,1.0932
1.137,1.0707
1.141,1.0588
1.146,1.0461
1.15,1.0205
1.155,1.006
1.159,1.0053
1.163,1.0311
1.168,1.0374
1.173,1.066
1.177,1.0882
1.182,1.0801
1.186,1.0792
1.191,1.0561
1.196,1.0514
1.2,1.0212
1.204,1.0234
1.208,1.0281
1.213,1.0648
1.218,1.0668
1.222,1.0595
1.227,0.84345
1.231,0.51798
1.236,1.3288
1.241,0.76191
1.244,0.50721
1.249,0.6984
1.254,0.61843
1.258,0.65623
1.263,0.87668
1.267,0.8592
1.272,1.0332
1.277,1.0452
1.281,1.0571
1.285,1.0378
1.289,1.0283
1.294,1.024
1.299,0.96125
1.303,0.92687
1.308,0.89074
1.313,0.94314
1.317,1.066
1.322,1.1714
1.326,1.2571
1.33,1.2403
1.335,1.2051
1.339,1.1853
1.344,1.0464
1.348,0.96867
1.353,1.0205
1.358,0.96396
1.362,1.0461
1.367,1.1416
1.371,1.2349
1.375,1.2434
1.38,1.2124
1.384,1.212
1.389,1.1883
1.394,1.1745
1.398,1.1414
1.403,0.97551
